number,jp,cn,kr,en
770,スマホを初めて買ってもらった時のテンションって宇宙人でも変わらないんだなあと、どこか感心する。,连外星人也会因为第一次获得手机而喜悦啊，我不禁有些感慨。,스마트폰을 처음 샀을 때의 고양감은 외계인이라도 마찬가지인 모양이다. 왠지 감동적이다.,
771,「うむ。それでこのアプリをいれると……」,“唔，然后安装这个APP……”,「음. 그래서 이 어플을 설치하면…….」,
772,「ふむふむっ」,“嗯嗯。”,"「응, 응.」",
773,ユエナは両手でしっかりスマホを握って、画面を凝視している。,由依奈双手牢牢抓着手机，眼睛紧盯屏幕。,유에나는 두 손으로 스마트폰을 꼭 쥐고 화면을 응시하고 있다.,
774,「よし、これで登録完了だ。それでここを開いて、文字を打ってみたまえ」,“好，这样就注册完了。然后点这里打字。”,"「좋아, 이러면 등록 완료다. 그리고 이걸 열어서 문자를 입력해 보도록.」",
775,「こう？」,“这样吗？”,「이렇게?」,
776,「うむ。それで最後にここを、そう押すとわたしのところへメッセージがくる」,“嗯，最后点这里就能给我发信息了。”,"「음. 그렇게 해서 마지막에 여기를, 이렇게 누르면 나에게 메시지가 온다.」",
777,「おおっ！はやいねっ」,“噢噢！好快啊。”,「오오! 빠르네!」,
778,「ふふ、だろう？どれだけ離れていても、電波が届く距離なら一瞬だ」,“呵呵，很快吧？不管距离多远，只要在信号能到达的范围内都只要一瞬间。”,"「후후, 그렇지? 아무리 멀리 떨어져 있어도 전파가 닿는 거리라면 순식간이지.」",
779,「どれだけでも……一瞬……」,“不管距离多远……一瞬间……”,「아무리 멀어도…… 순식간…….」,
780,「ああ。何かを伝えるのに、表面上の距離という概念がなくなったのは良いことだ」,“是啊。传达信息时能够抹去表面上的距离这一概念，这是件好事啊。”,「그래. 무언가를 전하는 데에 있어서 표면상의 거리란 개념이 사라진 것은 좋은 일이야.」,
781,「ひょうめ……がいね…ん？」,“表面……概念？”,「표면상…… 개…념?」,
782,「はははっ。少し難しい言い方だったかもしれないな、忘れてくれ」,“哈哈哈，我可能说得有点复杂了，你不用在意。”,"「하하하. 조금 어려운 말이었군, 잊어 주겠나.」",
783,「少年」,“少年。”,「소년.」,
784,「は、はい！」,“是、是！”,"「아, 네!」",
785,ふいに呼ばれる。,学姐突然叫到了我。,갑자기 날 부르신다.,
786,「君も、ユエナくんにQRコードをみせたまえ」,“你也把二维码给由依奈扫一下吧。”,「너도 유에나 군에게 QR 코드를 보여주도록.」,
787,「ああ、はい。いいですよ」,“啊，好的，没问题。”,"「아아, 네. 그럴게요.」",
788,ぼくはスマホを取り出す。,我掏出了手机。,나는 스마트폰을 꺼냈다.,
789,「はい、ユエナ」,“来吧，由依奈。”,"「자, 유에나.」",
790,ユエナがQRコードを読み取って登録する。すぐに友達追加した。,由依奈扫了一下二维码，立刻加上了好友。,유에나가 QR 코드를 읽어 등록한다. 바로 친구로 추가되었다.,
791,「それと少年」,“少年。”,「그리고 소년.」,
792,「なんですか？」,“怎么了？”,「왜 그러세요?」,
793,「……」,“……”,「…….」,
794,「ん？」,“嗯？”,「응?」,
795,「わ、わたしにも……教えてくれ」,“也、也跟我……加个好友吧。”,"「나, 나한테도…… 알려줘.」",
796,先輩がずいっとスマホを突き出す。,学姐把手机递了过来。,선배님이 스마트폰을 불쑥 내민다.,
797,画面にはQRコード。,屏幕上正显示着她的二维码。,화면에는 QR 코드.,
798,「は、はやく読み取りたまえ」,“快、快点扫吧。”,"「어, 어서 찍도록.」",
799,「は、はい今すぐに！」,“我、我马上就扫！”,"「네, 넵! 바로 할게요!」",
800,ぼくはすぐに読み取り、友達追加をする。そういえば、ぼくは先輩の連絡先を知らなかった。,我立刻扫码加上了好友。这么一说，我到现在都没有学姐的联系方式。,나는 곧바로 코드를 찍어 친구 추가를 했다. 그러고 보니 나는 선배님 연락처도 몰랐다.,
801,アイコンはどこかの夜景のような写真で、『東雲詩乃』とフルネームで名前登録されていた。,她的头像是一片夜景，而昵称就是自己的全名。,프로필 사진은 어딘가 야경처럼 보이는 사진에 『시노노메 우타노』라고 풀 네임으로 등록되어 있다.,
802,「よ、読み取りました」,“加、加好了。”,"「찌, 찍었습니다.」",
803,「うむ」,“唔。”,「음.」,
804,ぼくは新しく追加された、『東雲詩乃』と『ユエナ』の文字をじっと見る。,我怔怔看着新添加的两位好友，“东云诗乃”与“由依奈”。,나는 새롭게 추가된 『시노노메 우타노』와 『유에나』라는 글자를 지그시 바라본다.,
805,一気に二人も女子の連絡先が増えたことを、少しだけ誰かに自慢したくなる。,一下子获得了两个女生的联系方式，我突然有点想向别人炫耀一下。,단숨에 여자 연락처 두 개가 늘어났다. 누군가에게 살짝 자랑하고 싶어진다.,
806,これは多分、今日家に帰っていつまでもこの画面見てしまうやつだ。,估计今天回到家以后也会一直看着这个界面发呆吧。,어쩌면 집에 돌아가서도 이 화면만 계속 쳐다보고 있을지 모른다.,
807,我ながら気持ち悪いなとは思っている。,感觉自己好恶心。,내 입으로 말하긴 그렇지만 참 음침한 짓이라고 생각한다.,
808,「そ、そうだ」,“对、对了。”,"「그, 그렇지.」",
809,その気持ち悪い考えを振り切るために一つ提案する。,为了甩开脑中不纯洁的想法，我向她们提议道。,음침한 생각을 떨치기 위해 한 가지 제안을 한다.,
810,「ん、なんだ？」,“怎么了？”,"「응, 뭐지?」",
811,「なに？」,“什么事？”,「뭐야?」,
812,「グループつくりましょう。言の葉サークルの」,“我们建个群吧，茶言阅社的社团群。”,「단체 방을 만들죠. 말소리 서클.」,
813,「おお、それはいいな少年。さっそくつくろう、すぐ作ろう」,“噢噢，好主意。那现在就建一个吧。”,"「오오. 그거 괜찮구나, 소년. 곧장 만들자. 지금 만들자.」",
814,「ノリノリですね先輩……って、はや」,“学姐好有兴致……啊，这么快。”,"「의욕이 충만하시네요, 선배님……. 엇, 빨라.」",
815,ピコンと通知がきたと思ったらもうグループへの招待がきている。,手机收到一条通知，学姐的群邀请这就已经发过来了。,무슨 알림이 왔나 했더니 단체 방 초대가 온 것이었다.,
816,ぼくはもちろん承認のボタンを押す。,我自然选择了同意。,나는 당연히 수락 버튼을 눌렀다.,
817,「ユエナわかる？」,“由依奈，知道怎么加吗？”,"「유에나, 뭔지 알겠어?」",
818,ユエナのスマホをのぞく。,由依奈看着自己的手机。,유에나의 스마트폰을 들여다본다.,
819,「うんっ」,“嗯。”,「응!」,
820,グループのトーク画面にユエナが参加する。,由依奈加入了群组的聊天画面。,단체 톡 화면에 유에나가 참가한다.,
821,これで言の葉サークルのグループができた。出来たといっても、会話をするのかは怪しいけれど。,这样一来茶言阅社的社团群就创建完毕了。虽然也不知道会不会用它聊天。,이로써 말소리 서클 단체 방이 생겼다. 생겼다고 해도 거기서 대화를 할지는 의문스럽지만.,
822,それでもなんか嬉しかった。,但我还是很开心。,그래도 뭔가 좋았다.,
823,その後もぼくらはユエナにスマホを教えたり、先輩のリテラシー講座をぼくも一緒になって受ける。,之后我们教了由依奈怎么使用手机，我还一起接受了学姐的识字讲座。,"그 후로도 우리는 유에나에게 스마트폰을 가르쳤고, 나도 함께 선배님의 활용 능력 강좌를 들었다.",
824,そうしているうちに時間は進む。,时间不知不觉地流逝。,그렇게 시간이 흘러갔다.,
825,「ふむ、もう終わりか。今日も一日が早く感じたよ」,“唔，放学了啊。今天的时间也过得好快。”,「흠. 벌써 끝났나. 오늘도 하루가 빠르게 지난 듯해.」,
826,「ぼくもです」,“我也觉得。”,「저도 그래요.」,
827,「んふふっ、ふふっ、ふふ～ん」,“哎嘿嘿，哼哼哼～”,"「우후후, 후후, 흐흥~」",
828,ぽちぽちとスマホをいじっている。,由依奈还在摆弄着手机。,꾹꾹 스마트폰을 누르고 있다.,
829,ユエナは今日一日ですっかりスマホを使いこなせていた。,通过今天的学习，她已经完全掌握了手机的使用方法。,유에나는 오늘 하루 만에 스마트폰 다루는 방법을 완전히 통달했다.,
830,スマホをつくった人へ、地球にきたばかりの宇宙人でさえすぐ使いこなせていますよ。,真想告诉手机的发明者，现在就连刚来地球的外星人都能立刻上手。,스마트폰을 만든 분께. 감사합니다. 지구에 막 도착한 외계인조차 편하게 쓰고 있습니다.,
831,そんなことを思う。,我不禁冒出了这种想法。,그런 생각을 한다.,
832,最高の売り文句ではあるが、絶対に使えないけど。,用来当手机的广告标语虽然再好不过，但也是绝对不可能真正用上的。,"최고의 선전 문구이지만, 절대 쓸 수 없겠지.",
833,「そうだ、少年。帰る前に一つ」,“对了，少年。回去之前还有一件事。”,"「맞아, 소년. 돌아가기 전에 하나.」",
834,「はい？　なんでしょう」,“啊？什么事？”,「네? 뭔가요.」,
835,先輩に呼び止められ振り向く。,我回头看向学姐。,선배님이 불러 세우기에 돌아보았다.,
836,「な、なんです？」,“怎、怎么了？”,"「왜, 왜요?」",
837,先輩が拳を握って、ぐいっとぼくに突き出している。,学姐握着拳头伸到我面前。,선배님이 주먹을 움켜쥐고 나에게 성큼 다가선다.,
838,「君にプレゼントだ、受け取りたまえ」,“送你一个礼物，收下吧。”,「너에게 줄 선물이 있다. 받도록 해.」,
839,「なんか、嫌な予感しかしませんが」,“有种不祥的预感。”,「왠지 안 좋은 예감이 드네요.」,
840,「なに、君をだましてからかおうという意思がないことは約束しよう」,“别担心，我保证不是在恶作剧逗你玩。”,「괜찮다. 널 속이고 놀릴 의사가 없음을 약속하지.」,
841,「詩乃、なになにっ」,“诗乃，是什么呀。”,"「우타노. 뭐야, 뭐야?」",
842,「ふふ、さてなんだろうな、答えは少年が受け取れば分かるはずだよ」,“呵呵，到底是什么呢？等少年收下之后就能揭晓答案了。”,「후후. 글쎄 뭘까. 답은 소년이 받아 보면 알 수 있을 거야.」,
843,「ともき」,“智纪。”,「토모키.」,
844,ユエナがむっとぼくの顔をみつめる。,由依奈面带不满地看着我。,유에나가 볼을 부풀리며 나를 쳐다본다.,
845,「そ、そんな見られましても……。わかりましたよ、受け取りますよ」,“就、就算这样盯着我看……好吧，我收下就是了。”,"「그, 그렇게 쳐다보지 마……. 알겠어요, 받을게요.」",
846,ぼくは先輩の握った拳の下で手をひろげる。,我摊开手掌伸到学姐紧握的拳头下方。,나는 선배님의 주먹 아래로 손바닥을 펼쳤다.,
847,こんな時に先輩が冗談やからかうようなことをしないのは分かっている。,我知道这种时候她肯定不会乱开玩笑的。,이럴 때 선배님이 장난할 사람이 아니란 것은 아주 잘 안다.,
848,「受け取りたまえ」,“收下吧。”,「받도록.」,
849,先輩が拳をひらく。,学姐张开了手掌。,선배님이 주먹을 편다.,
850,拳の中から落下して、ぼくの手のひらに落ちたものは、,某样物品落入我的手中。,그 안에 있던 것이 내 손바닥 위로 떨어졌다.,
851,「え、これって……部室の鍵？」,“咦，这是……活动室的钥匙？”,"「어, 이건…… 부실 열쇠?」",
852,「ん－？」,“嗯？”,「응―?」,
853,ユエナがぼくの手のひらを覗き込む。,由依奈看向我的手掌。,유에나가 내 손바닥을 응시한다.,
854,ぼくの手のひらに乗っているのは部室の鍵だった。,而我手上放的正是活动室的钥匙。,손바닥에 떨어진 것은 부실 열쇠였다.,
855,「せ、先輩！」,“学、学姐！”,"「서, 선배님!」",
856,「な、なんだ少年」,“怎、怎么了，少年。”,"「왜, 왜 그러나 소년.」",
857,「……っ。先輩、部活、やめるんですか？」,“……学姐，你要退出社团了吗？”,"「……. 선배님. 동아리, 그만하실 건가요?」",
858,「……」,“……”,「…….」,
859,「はぁ」,“唉。”,「하아.」,
860,先輩がじっとぼくの目を見つめたあと深い息をはく。,学姐目光紧盯着我，然后深深叹了口气。,선배님이 내 눈을 응시하다가 깊은 한숨을 내쉰다.,
861,「そんなことあるわけないだろう？」,“那怎么可能。”,「그럴 리가 없잖아?」,
862,「あれ？」,“咦？”,「어라?」,
863,「明日は用事があって部活にこれないだけだ。それで部室の鍵を君に預けようとしたわけだよ」,“明天我有事没法过来，所以才把钥匙交给你。”,「내일 사정이 있어 동아리에 나오지 못해. 그래서 부실 열쇠를 네게 맡기려고 한 것뿐이야.」,
864,「君は、わたしに引退でもしてほしいのか？」,“难道你希望我退社吗？”,「너는 내가 은퇴하길 바라나?」,
865,「そ、そんなことあるわけないです！」,“当、当然不可能了！”,"「그, 그럴 리가 없잖아요!」",
866,とんでもない勘違いをしてしまった！,这下误会大了！,터무니없는 착각을 해 버렸다!,
867,「そうかそうか、君は言の葉サークル部長の肩書きがほしかったのか。そうかそうか」,“是吗是吗，你想要茶言阅社的社长头衔啊。我懂我懂。”,"「그랬군, 그랬어. 그렇게나 말소리 서클 부장 직함을 갖고 싶었구나. 그래, 그래.」",
868,「ち、ちがっ……すみませんでした。この鍵は明日一日大切に預かっておきます」,“我、我没有……对不起。钥匙明天就交给我吧，我会保管好的。”,"「아, 아니……. 죄송합니다. 이 열쇠는 내일 하루만 귀중하게 맡겠습니다.」",
869,深く謝罪する。,我诚恳道歉。,깊은 사죄를 보낸다.,
870,「ふふっ、というわけで私は明日いないが、二人で部活をやっていてくれ。無論、帰っても構わないぞ」,“呵呵，总之我明天不在，你们两个人自己搞社团活动吧。当然，直接回家也没关系。”,"「후훗. 말했듯이 나는 내일 없지만 둘이서 동아리 활동을 하도록. 물론, 집에 돌아가도 상관없어.」",
871,「いえ、やりますよ。ユエナは？」,“不，我会来的。由依奈呢？”,"「아뇨, 할 거예요. 유에나는?」",
872,「もちろん、やるっ」,“我当然也会来。”,"「물론, 할 거야!」",
873,「嬉しいかぎりだよ」,“那真是太好了。”,「기쁘기 그지없군.」,
874,「さ、今日は帰るとしよう。少年、鍵なくすなよ？」,“我们回家吧。少年，别把钥匙弄丢了。”,"「자, 오늘은 돌아가도록 하자. 소년. 열쇠 잃어버리면 안 된다?」",
875,「もちろんです」,“我知道。”,「당연하죠.」,
876,鍵はしっかり鞄へしまう。,我小心将钥匙放进包里。,열쇠를 가방에 잘 넣어 둔다.,
877,先輩が鞄を肩にかけ、髪をはらう。。,学姐将包挂到肩上，撩了撩头发。,선배님이 가방을 어깨에 걸고 머리카락을 넘긴다.,
878,「ユエナは屋上？」,“由依奈要去天台？”,「유에나는 옥상?」,
879,「んんっ、今日は椿木の家」,“不，今天去椿木家。”,「아니. 오늘은 츠바키네 집.」,
880,「そうなんだ」,“这样啊。”,「그렇구나.」,
881,「ふむ……」,“唔……”,「흠…….」,
882,ぼくの後ろで先輩が難しい顔をしている。,我身后的学姐表情复杂。,내 뒤에서 선배님이 고심에 빠져 있다.,
883,「ユエナくん、今度わたしの家にも来てくれないだろうか？　お泊り会をしよう」,“由依奈，下次来我家玩吧？我们一起睡。”,「유에나 군. 다음번엔 우리 집에도 와 주지 않겠나? 외박 모임을 하자.」,
884,「いく！」,“好！”,「갈래!」,
885,即答だった。,由依奈毫不犹豫。,즉답이다.,
886,「君もくるか？」,“你也要来吗？”,「너도 오겠나?」,
887,「い、いえ！　それはハードルが高すぎるので遠慮しておきます」,“不、不用了！对我来说难度太高了，还是算了吧。”,"「아, 아뇨! 그건 선을 넘는 것 같으니까 정중히 사양하겠습니다.」",
888,「なんだ、残念だ」,“是吗，真可惜。”,「뭐냐. 유감이군.」,
889,「残念っ」,“可惜。”,「유감!」,
890,さすがに女子の家に泊まりに行くのは無理だ。世の中には中学生で男女でお泊りとかしている人はいるんだろうか。,再怎么说也不能去女生家里过夜啊。世界上会有初中年纪的异性一起过夜吗？,아무리 그래도 여자 집에 외박하러 가는 건 안 된다. 이 세상에 외박하는 중학생 남녀도 존재할까?,
891,まったく想像がつかない。,完全无法想象。,전혀 상상이 되지 않는다.,
892,でも、もし女子と一緒に泊まるとしたら、同じお風呂に入って、シャンプーも一緒で、寝る場所も……いや、寝る場所はさすがに分かれるかな、でも……。,如果要和女生一起过夜，就会用同一间浴室洗澡，用同样的洗发水，睡觉也在同样的……不，睡觉肯定是会分开的吧。可是……,"그래도 만약 여자와 함께 외박한다고 가정하면, 같은 욕실에서 같은 샴푸로 씻고, 자는 장소도……. 아니, 그래도 잘 때는 갈라지겠지. 하지만…….",
893,「少年、顔が赤いぞ」,“少年，你的脸好红。”,「소년. 얼굴이 붉어.」,
894,「い、いえいえなんでもないです！　さ、部室出ましょう、最終下校時刻ですよっ」,“不、不不不，没什么！我、我们快走吧，到离校时间了。”,"「아, 아닌데요! 아무것도 아니에요! 자, 부실에서 나가요. 전체 하교 시간이에요!」",
895,「ふふっ、頼もしい部長だ。鍵を預けて正解かな」,“呵呵，真是个可靠的社长啊。看来把钥匙交给你是正确的。”,「후훗. 믿음직스런 부장이야. 열쇠를 맡기길 잘했어.」,
896,「部長は先輩です！」,“学姐才是社长！”,「부장은 선배님이고요!」,
897,部室をでる。,我们离开了活动室。,부실을 나선다.,
898,「ふふっ」,“呵呵。”,「후훗.」,
899,「んふふっ」,“哎嘿嘿。”,「우후후.」,
900,二人が顔を見合わせて笑っている。,她们两人相视一笑。,두 사람이 얼굴을 마주하며 웃고 있다.,
901,三人とも部室をでる。,我们一起走出活动室。,우리는 모두 부실 밖으로 나왔다.,
902,「あ、そうか」,“啊，对哦。”,"「아, 맞다.」",
903,先輩にじっと見られてなんだろうと思っていたけれど、そういえば鍵はぼくが持っているんだった。,学姐一直盯着我看，我这才想起钥匙在我身上。,선배님이 날 물끄러미 쳐다보기에 무슨 일인가 했다. 생각해 보니 열쇠는 나한테 있었다.,
904,鍵を閉める。,于是我锁好了门。,문을 잠근다.,
905,「さ、帰ろう」,“好了，回去吧。”,"「자, 가자.」",
906,「うんっ」,“嗯。”,「응!」,
907,先輩とユエナが二人並んで歩いて、ぼくはその後ろをついていく。,学姐和由依奈并肩而行，而我跟在她们身后。,선배님과 유에나가 나란히 걸어가고 나는 그 뒤를 천천히 따라간다.,
908,二人の後姿を見ながら、なんとなくぼくはこの時間を贅沢な時間だと思った。,看着她们的背影，我不禁觉得这真是一段奢侈的时光。,두 사람의 뒷모습을 바라보면서 나는 이 시간이 매우 사치스럽다고 느꼈다.,
909,ピロンッ。,嗡嗡。,띠링.,
910,「ん？」,“嗯？”,「응?」,
911,スマホの通知音が鳴る。,手机响起了提示音。,스마트폰 알림이 울린다.,
912,ぼくは読書の手をとめて、スマホを手に取る。,我放下手中的书，拿起了手机。,나는 독서를 멈추고 스마트폰을 들었다.,
913,「――っ」,“……”,「――윽.」,
914,通知欄にはユエナの文字。,通知栏中显示着“由依奈”。,팝업에 뜬 유에나라는 이름.,
915,心臓が一瞬ドキリとする。,我的心脏猛然一跳。,심장이 순간 덜컥였다,
916,いくらユエナが宇宙人とはいえ、夜に女の子からメッセージがきたらドキドキする。これはしょうがない。,即便由依奈是外星人，夜晚收到女生发来的信息还是令我心跳加速。这也是没有办法的事情。,아무리 유에나가 외계인이라 해도 여자한테 받는 심야 메시지는 두근두근하다. 이건 어쩔 수 없다.,
917,「……」,“……”,「…….」,
918,ぼくは汗をかく指で画面を操作し、確認する。,我用冒汗的手指滑动屏幕，查看信息。,나는 땀이 밴 손가락으로 화면을 눌러 확인했다.,
919,その間にもう一つメッセージがくる。,这时又收到了另一条消息。,그 사이에 메시지가 하나 더 온다.,
920,先輩だ。,是学姐发来的。,선배님이다.,
921,「なるほど」,“原来是这样。”,「그렇구나.」,
922,どうやら今日つくられた言の葉サークルのグループで会話しているらしい。,看来她们正在今天刚建的社团群里聊天。,아무래도 오늘 만든 말소리 서클 단체 방에서 대화하는 모양이다.,
923,ぼくはホーム画面で、既読をつけずに二人の会話をしばし観賞する。,我在主界面看着她们的交谈，没让消息打上已读标记。,나는 방에 들어가지 않고 홈 화면에서 잠시 두 사람의 대화를 감상했다.,
924,ともきは,智纪呢,유에나：토모키는,
925,今はいないようだな,他好像不在,시노노메 우타노：지금은 없는 것 같아,
926,そう,这样啊,유에나：그래,
927,なに、少年のことだきっとくる,别担心，他肯定会来的,"시노노메 우타노：걱정 마라, 소년이라면 분명 온다",
928,参加するなら今だとぼくは思う。,要加入她们的对话就趁现在吧。,들어가려면 지금이 적기라고 생각했다.,
929,どうも～,晚上好～,토모키：안녕~,
930,やあ、こんばんは,嗨，晚上好,"시노노메 우타노：오, 안녕",
931,ともき,智纪,유에나：토모키,
932,うん智紀です,嗯，我是智纪,"토모키：응, 토모키입니다",
933,わたし、ゆえな,我是由依奈,"유에나：나, 유에나",
934,そうだね,是啊,토모키：그렇지,
935,なんだ、この会話は。婚活か？,你们在搞什么，相亲吗？,시노노메 우타노：이 대화는 뭐냐. 맞선 보나?,
936,違いますよ！,没有啦！,토모키：아니거든요!,
937,よめない,看不懂,유에나：무슨 말이야,
938,こんかつ、とは結婚活動のことだ,相亲就是一种寻找结婚对象的方式,시노노메：맞선이란 결혼하기 위한 활동을 말하지,
939,説明しなくていいと思いますよ,没必要解释这个吧,토모키：설명 안 해도 되지 않았을까요,
940,そうか？,是吗？,시노노메 우타노：그런가?,
941,そうです,是啊,토모키：그렇죠,
942,リンクも用意したのだが,我还找了个介绍相亲的链接,시노노메 우타노：링크까지 따 왔다만,
943,いらないと思います,不需要,토모키：필요 없을 거 같아요.,
944,なんだ残念,真遗憾,시노노메 우타노：뭐냐 유감이군,
945,ざ,遗,유에나：ㅇ,
946,ざ？,遗？,토모키：ㅇ?,
947,ざ？,遗？,시노노메 우타노：ㅇ?,
948,ざんねん,遗憾,유에나：유감,
949,ユエナまで……,连由依奈也这样……,토모키：유에나까지……,
950,ユエナくんは面白いな（笑）,由依奈真有意思啊（笑）,시노노메 우타노：유에나 군은 재미있네 ㅋㅋ,
951,先輩も（笑）とか使うんだ。,学姐也会用这种词啊。,선배님도 ㅋㅋ 같은 걸 쓰시는구나.,
952,少し意外だ。,有点意外。,좀 의외다.,
953,わたしはちがう,我不一样,유에나：나는 아니야,
954,これ面白い,这个好有意思,유에나：이게 재미있어,
955,今夜は寝かせてはくれなさそうだぞ、少年,看来今晚是不让我们睡觉了啊，少年,"시노노메 우타노：아무래도 잠은 못 잘 듯하구나, 소년",
956,そんな気がしますね,我也这么觉得,토모키：그런 느낌이 드네요,
957,ユエナくんの日本語勉強も兼ねているのだよ、遠慮なくメッセージをとばしてくれたまえ,这也是在帮助由依奈学习日语，不用客气，尽管继续发消息过来吧,"시노노메 우타노：유에나 군의 일본어 공부도 있으니, 얼마든지 메시지를 보내도록",
958,はーい！わっかりましたー( ｀ー´)ノ,好的！我知道了(｀—´)ノ,유에나：네ー! 알겠습니당ー ( ｀ー´)ノ,
959,ユエナ？,由依奈？,토모키：유에나?,
960,ユエナくんのスマホを勝手に使うな,别擅自用由依奈的手机,시노노메 우타노：멋대로 유에나 군의 스마트폰을 만지지 마,
961,バレてた？(；ﾟДﾟ),你发现啦？(；ﾟДﾟ),유에나：들켰다고? (；ﾟДﾟ),
962,急に顔文字なんか使えば一目瞭然に決まっているでしょう,突然开始用颜文字，当然一眼就看出来了,시노노메 우타노：갑자기 이모티콘 같은 걸 쓰면 당연히 들킬 수밖에,
963,教えてあげてるのよ、ユエナちゃんに顔文字をね,我在教由依奈什么是颜文字,"유에나：가르쳐 주는 거거든, 유에나한테 특수문자 이모티콘",
964,"いまどきの""若者""はあまり顔文字は使わないと思うのだけれど",我感觉现在的“年轻人”已经不怎么用颜文字了吧,"시노노메 우타노：요즘 ""젊은이""는 그런 얼굴 문자를 안 쓴다고 생각합니다만",
965,強調するな！！！,别强调这个！！！,유에나：강조하지 마!!!,
966,わたしも若者だ！！！,我也是年轻人！！！,유에나：나도 젊은이라고!!!,
967,ぼくは顔文字は使わないですね～,我平时也不会用～,토모키：저는 얼굴 문자 안 써요~,
968,おまえもか！,你也嘲讽我！,유에나：너도냐!,
969,この人、ネットだとまた違う性格になるっぽい。,看来老师上网的时候又是另一副性格。,"이 사람, 온라인이면 또 다른 인격이 나오는 것 같다.",
970,どうでもいいが、早くユエナくんに返したまえ,这点小事怎么样都无所谓，你赶紧把手机还给由依奈,시노노메 우타노：시답잖은 얘기 말고 어서 유에나 군에게 돌려주세요,
971,ユエナくんの名前であなたが話すな,别顶着由依奈的名字说话,시노노메 우타노：유에나 군 이름으로 당신이 말하지 마,
972,はいはい、返すわよ(;_;)/~~~,是是是，我还给她(;_;)/~~~,"유에나：아 예, 돌려줄게 (;_;)/~~~",
973,めんどくさい人だ,真是个麻烦的家伙,시노노메 우타노：귀찮은 인간이야,
974,まったくです,就是啊,토모키：누가 아니래요,
975,そう言いながらも、この二人の会話もなかなか面白い。,话虽如此，但她们两人的对话也相当有趣。,말은 그렇게 했지만 이 두 사람의 대화도 제법 웃긴다.,
976,すごい,好厉害,유에나：대단해,
977,すごい？,厉害？,시노노메 우타노：대단해?,
978,凄い？,厉害？,토모키：대단해?,
979,つばき、撃つのはやい,椿木大字很快,"유에나：츠바키, 좌판 엄청 빨라",
980,慣れだと思うよ,她应该习惯了,토모키：익숙함의 차이일 거야,
981,こういう時の誤字は指摘すればいいのか迷う。,不知道这种时候该不该指出她打错字了。,이럴 때 오타 지적을 해도 되는지 고민된다.,
982,その通りだ,是啊,시노노메 우타노：맞는 말이다,
983,それと、この場合の「うつ」は「打つ」だ。覚えておくといい,而且应该是“打字”，下次记住吧,시노노메 우타노：그리고 방금은 「좌판」이 아니라 「자판」이야. 잘 기억해 둬,
984,がんびる,我会怒力,유에나：노력랗게,
985,打つ,打字,유에나：자판,
986,がんばる、かな。一生懸命急いで打つユエナの姿が想像できる。,由依奈应该是想说“努力”吧。能想象出她拼命打字的模样。,"노력할게, 인가. 열심히 타자 치는 유에나의 모습이 상상된다.",
987,お姉さんはいつでも付き合うぞ,姐姐永远陪着你,시노노메 우타노：언니가 언제든 도와줄게,
988,ぼくも,我也是,토모키：나도,
989,うん,嗯,유에나：응,
990,ありがと,谢谢,유에나：고마워,
991,その後もぼくらはたくさん会話をした。,之后我们继续聊了很久。,그 후로도 우리는 수많은 대화를 주고받았다.,
992,布団に入って、電気を消して、暗い部屋の中でスマホの画面だけが煌々と輝く。,我钻进被窝，关掉电灯，漆黑的房间内只有手机屏幕还保持着光亮。,이불에 들어가 불을 끈다. 어두운 방 안에서 스마트폰 화면만이 밝게 빛난다.,
993,「……ふぁぁ」,“……呼啊。”,「……하아암.」,
994,眠気がくる。,我感到困意上涌。,졸음기가 몰려온다.,
995,何時まで起きていたかは覚えていない。,已经记不清自己熬夜熬到了几点。,몇 시까지 깨어 있었는지 기억하지 못한다.,
996,けどいつのまにかぼくは、寝落ちしていた。,不知不觉间便进入了梦乡。,하지만 어느새 나는 잠결에 빠져들었다.,
997,「ふぁぁああ」,“呼啊啊啊。”,「하아아아암.」,
998,「眠そうだな」,“你好像很困啊。”,「졸린가 보네.」,
999,「うん、ちょっと昨日寝るの遅くて」,“嗯，昨天睡得有点晚。”,「응. 어제 좀 늦게 자서.」,
1000,「何時？」,“几点睡的？”,「몇 시?」,
1001,「覚えてない」,“记不清了。”,「기억 안 나.」,
1002,ぼくは机につっぷす。,我趴在课桌上。,나는 책상에 엎드렸다.,
1003,なるべく寝ておきたい。,想要尽量利用时间多睡一会儿。,최대한 잠을 보충하고 싶다.,
1004,「なあ」,“我说。”,「야.」,
1005,そんなぼくの願望を破砕するように航生が話しかけてくる。,然而航生却上来搭话，摧毁了我的小小愿望。,그런 내 소망을 깨뜨리며 코세이가 말을 건다.,
1006,「んー？」,“嗯？”,「응ー?」,
1007,「お前もだけど、杠葉さんも眠そうだな。なんかあった？」,“你和杠叶同学看上去都昏昏欲睡的，是发生了什么事吗？”,「너도 그렇지만 유즈리하 양도 졸려 보인다. 뭐 있었어?」,
1008,航生は時折鋭い。,航生有时候真的很敏锐。,코세이는 가끔 날카롭다.,
1009,「朝はだいたいみんな眠いと思うよ」,“大家早上都会觉得困吧。”,「아침에는 다들 졸려 하잖아.」,
1010,「ま、それもそうか」,“说得也是。”,"「뭐, 그것도 그렇지.」",
1011,「由依奈ちゃん、おはよー」,“由依奈，早上好。”,"「유에나, 안녕ー」",
